amino,fold
C,2
P,2
H,1
P,-1
H,-2
P,-2
H,-2
C,-1
H,2
H,-2
H,-2
H,2
P,-1
C,-2
C,1
P,1
P,-1
H,2
P,-1
P,-1
P,-1
H,-2
P,-1
P,1
P,-2
P,-2
C,-2
P,2
P,2
P,-1
H,-2
P,1
P,2
P,-1
H,-1
P,1
H,-2
H,-1
H,1
H,1
C,1
H,-2
P,-1
H,2
P,-2
H,-1
P,-2
H,2
H,1
score,-24.0
